MYObjectID,MYDatasetID[0],MYDatasetID[1],MYDatasetID[2],MYSeparatedFrom,MYGathering[0][MYUnit][0][MYSex],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxon],MYGathering[0][MYCollectingEventName],MYGathering[0][MYDateBegin],MYGathering[0][MYDateEnd],MYGathering[0][MYLatitude],MYGathering[0][MYLongitude],MYGathering[0][MYAlt],MYGathering[0][MYCoordinateNotes],MYLabelsVerbatim
Object ID,Datasets,Datasets,Datasets,Separated from specimen,1.1. Sex,1.1.1. Species,1. Collecting event name,1. Start date,1. End date,1. Lat (N),1. Lon (E),1. Alt in meters,1. Coordinate notes,Verbatim labels
10205,GX.9136,GX.9376,GX.9142,http://mus.utu.fi/ZMUT.9567,M,Syzeuctus sp3,Amazon 1998,16.11.1998,01.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/7 232"
10206,GX.9136,GX.9376,GX.9142,http://mus.utu.fi/ZMUT.9567,M,Syzeuctus sp3,Amazon 1998,16.11.1998,01.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/7 102"
10207,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9556,M,Syzeuctus sp3,Amazon 1998,16.10.1998,01.11.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 16.10-1.11.1998, clayish soil I.E.S., R.J. et al. leg. Malaise t., APHI A1/5 114
23
99. [or 66?]"
10208,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9556,M,Syzeuctus sp3,Amazon 1998,16.10.1998,01.11.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 16.10-1.11.1998, clayish soil I.E.S., R.J. et al. leg. Malaise t., APHI A1/5 074
23
87"
10209,GX.9136,GX.9376,GX.9142,http://mus.utu.fi/ZMUT.9565,M,Syzeuctus sp3,Amazon 1998,16.10.1998,01.11.1998,,,,,"24
PERU, Dept. of Loreto Iquitos area, Mishana 16.10-1.11.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/5 276
89 [or 68?]"
10210,GX.9136,GX.9376,GX.9142,http://mus.utu.fi/ZMUT.9565,M,Syzeuctus sp3,Amazon 1998,16.10.1998,01.11.1998,,,,,"24
PERU, Dept. of Loreto Iquitos area, Mishana 16.10-1.11.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/5 277
85"
10211,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9560,M,Syzeuctus sp3,Amazon 1998,16.12.1998,01.01.1999,,,,,"27
PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 318
98. [or 86?]"
10212,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9560,M,Syzeuctus sp3,Amazon 1998,16.12.1998,01.01.1999,,,,,"27
PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 316
92"
10213,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9560,M,Syzeuctus sp3,Amazon 1998,16.12.1998,01.01.1999,,,,,"27
PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 319
88"
10214,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9560,M,Syzeuctus sp3,Amazon 1998,16.12.1998,01.01.1999,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 167"
10215,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9559,M,Syzeuctus sp3,Amazon 1998,01.12.1998,16.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/8 359"
10216,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9559,M,Syzeuctus sp3,Amazon 1998,01.12.1998,16.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/8 217"
10217,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9559,M,Syzeuctus sp3,Amazon 1998,01.12.1998,16.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/8 123"
10218,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9559,M,Syzeuctus sp3,Amazon 1998,01.12.1998,16.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/8 156"
10219,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9558,M,Syzeuctus sp3,Amazon 1998,16.11.1998,01.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, clayish soil I.E.S., R.J. et al. leg. Malaise t., APHI A1/7 087"
10220,GX.9136,GX.9376,GX.9142,http://mus.utu.fi/ZMUT.9568,M,Syzeuctus sp3,Amazon 1998,01.12.1998,16.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/8 240"
10221,GX.9136,GX.9376,GX.9142,http://mus.utu.fi/ZMUT.9569,M,Syzeuctus sp3,Amazon 1998,16.12.1998,01.01.1999,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 16.12.1998-1.1.1999, clay Malaise trap UTU-ART leg. APIH A2/9 302
17
86 [or 98?]"
10222,GX.9136,GX.9375,GX.9144,http://mus.utu.fi/ZMUT.9583,M,Syzeuctus sp3,Amazon 1998,16.11.1998,01.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, varillal I.E.S., R.J. et al. leg. Malaise t., APHI B2/7 091
19
93"
10223,GX.9136,GX.9375,GX.9144,http://mus.utu.fi/ZMUT.9583,M,Syzeuctus sp3,Amazon 1998,16.11.1998,01.12.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, varillal I.E.S., R.J. et al. leg. Malaise t., APHI B2/7 016
19
94"
10224,GX.9136,GX.9375,GX.9144,http://mus.utu.fi/ZMUT.9582,M,Syzeuctus sp3,Amazon 1998,01.11.1998,16.11.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 1-16.11.1998, varillal I.E.S., R.J. et al. leg. Malaise t., APHI B2/6 035"
10225,GX.9136,GX.9376,GX.9147,http://mus.utu.fi/ZMUT.9603,M,Syzeuctus sp3,Amazon 1998,04.09.1998,18.09.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 4-18.9.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI C2/2 061"
10226,GX.9136,GX.9376,GX.9147,http://mus.utu.fi/ZMUT.9610,M,Syzeuctus sp3,Amazon 1998,17.12.1998,20.01.1999,,,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.12-20.1.1998, clay I.E.S., R.J. et al. leg. Malaise trap, APHI, C2/9"
10227,GX.9136,GX.9376,GX.9147,http://mus.utu.fi/ZMUT.9610,M,Syzeuctus sp3,Amazon 1998,17.12.1998,20.01.1999,,,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.12-20.1.1998, clay I.E.S., R.J. et al. leg. Malaise trap, APHI, C2/9"
10228,GX.9136,GX.9376,GX.9147,http://mus.utu.fi/ZMUT.9610,M,Syzeuctus sp3,Amazon 1998,17.12.1998,20.01.1999,,,,,"25
PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.12-20.1.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI C2/9 013
16 [or 91?]"
